model_number,identifier,variant,emc,model_name,storage_capacity,housing_color,network,cellular_network,camera,controller,ports,power_cord,power_brick,dimensions,avg_weight,release_date,msrp
MLY62LL/A,"iPhone8,4",A1662,3042,iPhone SE,16GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLLL2LL/A,"iPhone8,4",A1662,3042,iPhone SE,16GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLXM2B/A,"iPhone8,4",A1723,3042,iPhone SE,16GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP842B/A,"iPhone8,4",A1723,3042,iPhone SE,32GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLYA2LL/A,"iPhone8,4",A1723,3042,iPhone SE,16GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP852CH/A,"iPhone8,4",A1724,3042,iPhone SE,32GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLYD2LL/A,"iPhone8,4",A1723,3042,iPhone SE,64GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP942LL/A,"iPhone8,4",A1662,3042,iPhone SE,128GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLXK2LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLMJ2LL/A,"iPhone8,4",A1723,3042,iPhone SE,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP8Q2LL/A,"iPhone8,4",A1723,3042,iPhone SE,32GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP872CH/A,"iPhone8,4",A1724,3042,iPhone SE,128GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLXP2CH/A,"iPhone8,4",A1724,3042,iPhone SE,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLXW2LL/A,"iPhone8,4",A1662,3042,iPhone SE,16GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLLW2LL/A,"iPhone8,4",A1662,3042,iPhone SE,16GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLLU2LL/A,"iPhone8,4",A1662,3042,iPhone SE,16GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP882B/A,"iPhone8,4",A1723,3042,iPhone SE,128GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP8A2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP862B/A,"iPhone8,4",A1723,3042,iPhone SE,128GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP8G2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP892CH/A,"iPhone8,4",A1724,3042,iPhone SE,128GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP8K2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP842CH/A,"iPhone8,4",A1724,3042,iPhone SE,32GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP7W2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLYC2LL/A,"iPhone8,4",A1723,3042,iPhone SE,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLMA2LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLM52LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLMC2LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP872B/A,"iPhone8,4",A1723,3042,iPhone SE,128GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLLP2CH/A,"iPhone8,4",A1724,3042,iPhone SE,16GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLM32LL/A,"iPhone8,4",A1723,3042,iPhone SE,16GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP892B/A,"iPhone8,4",A1723,3042,iPhone SE,128GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLXM2CH/A,"iPhone8,4",A1724,3042,iPhone SE,16GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP8M2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLM62B/A,"iPhone8,4",A1723,3042,iPhone SE,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP802LL/A,"iPhone8,4",A1662,3042,iPhone SE,128GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP832CH/A,"iPhone8,4",A1724,3042,iPhone SE,32GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP852B/A,"iPhone8,4",A1723,3042,iPhone SE,32GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLME2LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP932LL/A,"iPhone8,4",A1662,3042,iPhone SE,128GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP8T2LL/A,"iPhone8,4",A1723,3042,iPhone SE,32GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLMF2LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLY92LL/A,"iPhone8,4",A1723,3042,iPhone SE,16GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLLX2LL/A,"iPhone8,4",A1662,3042,iPhone SE,16GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP9G2LL/A,"iPhone8,4",A1723,3042,iPhone SE,128GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP9J2LL/A,"iPhone8,4",A1723,3042,iPhone SE,128GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLM42LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLXX2LL/A,"iPhone8,4",A1662,3042,iPhone SE,16GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLLV2LL/A,"iPhone8,4",A1662,3042,iPhone SE,16GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLM62CH/A,"iPhone8,4",A1724,3042,iPhone SE,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLY52LL/A,"iPhone8,4",A1662,3042,iPhone SE,16GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLM22LL/A,"iPhone8,4",A1723,3042,iPhone SE,16GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP982LL/A,"iPhone8,4",A1662,3042,iPhone SE,128GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP9C2LL/A,"iPhone8,4",A1662,3042,iPhone SE,128GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLMD2LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLM72B/A,"iPhone8,4",A1723,3042,iPhone SE,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP8C2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP9F2LL/A,"iPhone8,4",A1662,3042,iPhone SE,128GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP8H2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLLN2X/A,"iPhone8,4",A1723,3042,iPhone SE,16GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP992LL/A,"iPhone8,4",A1662,3042,iPhone SE,128GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP8D2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLY82LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP8N2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP7Y2LL/A,"iPhone8,4",A1662,3042,iPhone SE,128GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLY72LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP7X2LL/A,"iPhone8,4",A1662,3042,iPhone SE,128GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLM72CH/A,"iPhone8,4",A1724,3042,iPhone SE,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLXQ2CH/A,"iPhone8,4",A1724,3042,iPhone SE,64GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MP8J2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MP7V2LL/A,"iPhone8,4",A1662,3042,iPhone SE,32GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MLY32LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLY42LL/A,"iPhone8,4",A1662,3042,iPhone SE,64GB,Rose Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,499
MLLN2B/A,"iPhone8,4",A1723,3042,iPhone SE,16GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.99 oz,March 21st 2016,399
MB384LL/A,"iPhone1,1",A1203,,iPhone Original,16GB,Black,WiFi + Cellular,Quad-Band,2.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.46 inches,4.8 oz,January 9th 2007,599
MA501LL/A,"iPhone1,1",A1203,,iPhone Original,4GB,Black,WiFi + Cellular,Quad-Band,2.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.46 inches,4.8 oz,January 9th 2007,499
MA712LL/A,"iPhone1,1",A1203,,iPhone Original,8GB,Black,WiFi + Cellular,Quad-Band,2.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.46 inches,4.8 oz,January 9th 2007,499
MQ8E2LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,64GB,Silver,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MRTD2LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,256GB,Red,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MQ8U2LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,64GB,Silver,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MQ8M2LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,64GB,Silver,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MRTC2LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,64GB,Red,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MRT72LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,64GB,Red,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MQ972LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MQ902LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,64GB,Space Gray,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MQ8D2LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,64GB,Silver,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MQ962LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MQ912LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,64GB,Silver,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MQ9A2LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,256GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MQ8F2LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,64GB,Gold,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MQ952LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,256GB,Gold,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MQ932LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,256GB,Space Gray,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MQ8G2lLL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,256GB,Gold,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MQ8V2LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,64GB,Gold,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MRT82LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,256GB,Red,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MQ942LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,256GB,Silver,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MQ9F2LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MQ8G2LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MRTJ2LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,64GB,Red,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MQ8T2LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,64GB,Space Gray,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MQ8X2LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,256GB,Silver,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
MRTG2LL/A,"iPhone10,5",A1897,3174,iPhone 8 Plus,64GB,Red,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,799
MQ8J2LL/A,"iPhone10,2",A1864,3160,iPhone 8 Plus,256GB,Gold,WiFi + Cellular,GSM/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.24 x 3.07 x 0.30 inches,7.13 oz,September 12th 2017,949
