model_number,identifier,variant,emc,model_name,storage_capacity,housing_color,network,cellular_network,camera,controller,ports,power_cord,power_brick,dimensions,avg_weight,release_date,msrp
MD235DN/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MD259LL/A,"iPhone4,1",A1387,2430,iPhone 4S,64GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,399
MD276LL/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MF259LL/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MF265CH/A,"iPhone4,1",A1431,,iPhone 4S,8GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,September 10th 2013,99
MF258LL/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MF257LL/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MF264LL/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MD240CH/A,"iPhone4,1",A1431,,iPhone 4S,16GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,January 13th 2012,199
MD277LL/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MD382LL/A,"iPhone4,1",A1387,2430,iPhone 4S,64GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,399
MD377LL/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MD271LL/A,"iPhone4,1",A1387,2430,iPhone 4S,64GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,399
MD236LL/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MD378LL/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MD257LL/A,"iPhone4,1",A1387,2430,iPhone 4S,64GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,399
